year,life_expectancy
1800,31.502717391304348
1801,31.461956521739125
1802,31.478804347826088
1803,31.383152173913043
1804,31.45923913043478
1805,31.586413043478263
1806,31.6445652173913
1807,31.598369565217393
1808,31.383152173913043
1809,31.31032608695652
1810,31.541847826086954
1811,31.49836956521739
1812,31.4875
1813,31.482608695652175
1814,31.535326086956523
1815,31.678804347826084
1816,31.65652173913043
1817,31.759239130434782
1818,31.599456521739125
1819,31.504891304347826
1820,31.58423913043478
1821,31.64945652173913
1822,31.760869565217387
1823,31.81358695652174
1824,31.74619565217391
1825,31.698913043478257
1826,31.62336956521739
1827,31.663043478260875
1828,31.601630434782603
1829,31.583695652173915
1830,31.670652173913048
1831,31.632608695652177
1832,31.593478260869563
1833,31.589130434782607
1834,31.575
1835,31.708695652173915
1836,31.67228260869565
1837,31.605978260869566
1838,31.671739130434784
1839,31.661956521739125
1840,31.752717391304344
1841,31.798913043478255
1842,31.773369565217394
1843,31.757608695652177
1844,31.821195652173916
1845,31.875000000000004
1846,31.56847826086957
1847,31.647282608695654
1848,31.644565217391307
1849,31.480434782608693
1850,31.666304347826085
1851,31.815217391304348
1852,31.830978260869557
1853,31.828804347826086
1854,31.70271739130435
1855,31.73967391304348
1856,31.75380434782609
1857,31.756521739130434
1858,31.761413043478264
1859,31.728804347826088
1860,31.807608695652174
1861,31.773369565217394
1862,31.703804347826086
1863,31.75978260869565
1864,31.688043478260873
1865,31.645108695652176
1866,31.51902173913043
1867,31.529347826086966
1868,31.249510869565217
1869,31.574999999999992
1870,31.81847826086956
1871,31.76086956521739
1872,31.854891304347813
1873,31.94836956521738
1874,32.01249999999999
1875,31.899456521739125
1876,32.11086956521739
1877,32.192934782608695
1878,32.21032608695653
1879,32.342934782608694
1880,32.345652173913045
1881,32.413043478260875
1882,32.36739130434783
1883,32.531521739130426
1884,32.69076086956522
1885,32.76358695652174
1886,32.83043478260868
1887,32.89673913043475
1888,32.936413043478254
1889,32.93597826086957
1890,32.71152173913042
1891,32.92842391304348
1892,32.9429347826087
1893,33.014239130434795
1894,33.2592391304348
1895,33.34293478260869
1896,33.44510869565215
1897,33.53152173913044
1898,33.57119565217391
1899,33.548369565217385
1900,33.61413043478259
1901,33.808152173913015
1902,33.90543478260868
1903,33.94565217391305
1904,33.99668478260871
1905,34.05163043478263
1906,34.17826086956522
1907,34.3054347826087
1908,34.425
1909,34.6826086956522
1910,34.83206521739129
1911,34.96304347826085
1912,35.19239130434781
1913,35.22228260869564
1914,34.95978260869565
1915,34.59396739130435
1916,34.710869565217386
1917,34.55760869565218
1918,22.95625
1919,34.707065217391325
1920,34.96902173913043
1921,35.4538043478261
1922,35.77554347826087
1923,36.52663043478261
1924,36.80815217391303
1925,36.99456521739131
1926,37.381521739130456
1927,37.54130434782609
1928,37.857608695652154
1929,37.87989130434783
1930,38.36902173913044
1931,38.353260869565226
1932,38.34891304347827
1933,38.13614130434782
1934,39.66684782608697
1935,40.06304347826086
1936,40.56304347826087
1937,40.87500000000001
1938,41.40054347826086
1939,41.87173913043482
1940,41.82173913043479
1941,40.34728260869563
1942,40.155978260869546
1943,39.92282608695654
1944,39.726630434782614
1945,41.559782608695656
1946,45.130978260869576
1947,45.672282608695646
1948,47.828260869565234
1949,48.959782608695626
1950,50.07336956521741
1951,50.28423913043477
1952,50.89347826086954
1953,51.53750000000001
1954,52.213043478260865
1955,52.786413043478284
1956,53.32282608695653
1957,53.792934782608654
1958,54.410869565217425
1959,54.85054347826088
1960,55.41358695652171
1961,55.932608695652185
1962,56.39456521739134
1963,56.92065217391305
1964,57.4625
1965,57.85923913043479
1966,58.309782608695635
1967,58.764673913043474
1968,59.140217391304326
1969,59.5179347826087
1970,60.17165775401072
1971,60.60427807486635
1972,60.831016042780746
1973,61.23582887700533
1974,61.65401069518719
1975,61.980748663101615
1976,62.189839572192525
1977,62.67272727272728
1978,62.9385026737968
1979,63.238502673796816
1980,63.74171122994651
1981,63.95828877005344
1982,64.05721925133689
1983,64.47647058823532
1984,64.73475935828871
1985,65.00962566844917
1986,65.36096256684495
1987,65.53582887700533
1988,65.6577540106952
1989,66.07914438502671
1990,66.19304812834228
1991,66.28181818181818
1992,66.38181818181818
1993,66.37058823529414
1994,66.25347593582892
1995,66.4663101604278
1996,66.64171122994651
1997,66.77272727272725
1998,66.88128342245987
1999,67.01978609625665
2000,67.31818181818184
2001,67.55454545454543
2002,67.76256684491975
2003,68.02032085561495
2004,68.26417112299467
2005,68.60695187165777
2006,68.93957219251334
2007,69.29304812834226
2008,69.63743315508023
2009,70.00106951871655
2010,70.22566844919785
2011,70.65935828877006
2012,71.05614973262033
2013,71.39946524064172
2014,71.62299465240642
2015,71.93368983957218
2016,72.20695187165772
2017,72.42228260869568
2018,72.65815217391307
